dt,sunrise,sunset,temp,feels_like,pressure,humidity,weather,speed,deg,gust,clouds,pop
1619082000,1619061630,1619108768,"{'day': 298.32, 'min': 288.29, 'max': 302.42, 'night': 290.61, 'eve': 301.39, 'morn': 288.29}","{'day': 297.81, 'night': 287.74, 'eve': 300.06, 'morn': 287.74}",1019,35,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",9.35,48,9.53,1,0
1619168400,1619147970,1619195206,"{'day': 299.22, 'min': 288.05, 'max': 304.21, 'night': 291.45, 'eve': 302.35, 'morn': 288.05}","{'day': 299.22, 'night': 287.48, 'eve': 300.66, 'morn': 287.48}",1016,22,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",8.51,50,9.01,7,0
1619254800,1619234310,1619281645,"{'day': 301.39, 'min': 289.04, 'max': 306.36, 'night': 294.73, 'eve': 305.14, 'morn': 289.04}","{'day': 300.08, 'night': 288.62, 'eve': 302.9, 'morn': 288.62}",1011,21,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",7.83,45,9.98,0,0
1619341200,1619320652,1619368084,"{'day': 304.15, 'min': 292.58, 'max': 310.19, 'night': 292.58, 'eve': 310.14, 'morn': 293.27}","{'day': 302.1, 'night': 292.33, 'eve': 307.09, 'morn': 292.33}",1008,15,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",8.4,343,8.93,6,0
1619427600,1619406994,1619454523,"{'day': 298.34, 'min': 289.51, 'max': 302.23, 'night': 290.05, 'eve': 300.78, 'morn': 289.51}","{'day': 297.8, 'night': 289.37, 'eve': 299.79, 'morn': 289.37}",1013,34,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",8.21,334,9.58,3,0
1619514000,1619493337,1619540962,"{'day': 296.49, 'min': 287.97, 'max': 304.62, 'night': 291.97, 'eve': 304.62, 'morn': 287.97}","{'day': 295.79, 'night': 287.49, 'eve': 302.49, 'morn': 287.49}",1014,35,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",7.52,11,9.68,0,0
1619600400,1619579681,1619627402,"{'day': 301.89, 'min': 289.37, 'max': 306.8, 'night': 294.37, 'eve': 306.48, 'morn': 289.37}","{'day': 300.42, 'night': 289.19, 'eve': 304.03, 'morn': 289.19}",1014,20,"[{'id': 800, 'main': 'Clear', 'description': 'sky is clear', 'icon': '01d'}]",9.06,50,11.11,0,0
